Raza,Foto,Acerca de,Tamaño,No Alergia,País,Categoría de tamaño,Esperanza de vida promedio,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Casa,Experiencia,Sociable,Entrenamiento,Actividades,Cuidados,Ejercicio,Guardia
Terrier Tibetano,https://cdn.royalcanin-weshare-online.io/Rfozx2oBIYfdNSoCahly/v1/bd112bl-hub-tibetan-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los Terrier Tibetanos son perros robustos y de tamaño mediano. Después de utilizarse durante siglos en su región natal, no como Terrier, sino como perros pastores, adquirieron la expresión obstinada de un perro de trabajo.  Los Terrier Tibetanos tienen instintos de pastoreo y conducción tan desarrollados que, cuando pasean con la familia, siempre se vuelven hacia el grupo para vigilar que todo esté bien. En términos de salud, la raza es muy fuerte. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Tíbet,Mediano,12–15 años,Alegre,Cariñoso,Leal,Afable,Seguro,Alerta,Jardín no esencial,,Un gran perro para una familia,,,,Necesita mucho ejercicio,
Viringo Peruano,https://cdn.royalcanin-weshare-online.io/ICIrx2oBaxEApS7LzRzQ/v1/bd92bl-hub-peruvian-hairless-dog-adult-standing?w=320&fm=jpg&auto=compress,"También conocido como perro sin pelo del Perú, estos perros destacan por su gran actividad y su estado de alerta; desconfían de los extraños, pero son increíblemente cariñosos con su familia. Los viringos peruanos son compañeros cariñosos y leales para cualquier hogar.  Debe tenerse cuidado con las mascotas más pequeñas que se tengan en casa; si por algo se conoce a estos perros es por su marcado instinto de caza que les haría ver a otros animales como presas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Perú,Mediano,11–12 años,Cariñoso,Alerta,Afable,Leal,,,,,Un gran perro para una familia,Necesita poco entrenamiento,,Requiere muchos cuidados,,
Welsh Corgi Cardigan,https://cdn.royalcanin-weshare-online.io/1WkwHWsBG95Xk-RBnfiZ/v1/bd20bl-hub-welsh-corgi-cardigan-adult-standing?w=320&fm=jpg&auto=compress,"Los welsh corgi Cardigans son perros pequeños, alegres, activos, inteligentes y equilibrados. Su naturaleza tranquila los convierte en compañeros o perros de familia ideales.  Sin embargo, sus orígenes como perro de trabajo hace que necesiten más ejercicio de lo que cabría esperar de un perro de este tamaño, y por tanto es recomendable que tengan acceso regular al exterior. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,12–15 años,Cariñoso,Alegre,Alerta,Afable,Fuerte,Inteligente,,,Un gran perro para una familia,,,Necesita cuidados moderados,Necesita mucho ejercicio,
Welsh Corgi Pembroke,https://cdn.royalcanin-weshare-online.io/0WksHWsBG95Xk-RBE_hw/v1/bd15bl-hub-welsh-corgi-pembroke-adult-standing?w=320&fm=jpg&auto=compress,"Los Welsh Corgi Pembrokes están más extendidos que los Cardigans. Con el tiempo, obtuvieron el apoyo real cuando el Rey Jorge VI le regaló un cachorro de Welsh Corgi Pembroke a su hija, la actual reina Isabel II, que continuó criando esta raza desde entonces.  Los perros de la raza Welsh Corgi Pembroke, ligeramente más pequeño que sus primos los Cardigans, son simpáticos y sociables, por lo que pueden resultar ideales como mascotas familiares o perros de compañía. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",M (11-25 kg),False, Reino Unido,Mediano,11–13 años,Alerta,Alegre,Seguro,Afable,Inteligente,,,,Un gran perro para una familia,Necesita poco entrenamiento,,Necesita cuidados moderados,,
Aïdi,https://cdn.royalcanin-weshare-online.io/afozIGYBIYfdNSoCsAjP/v1/bd122bl-aidi-adult-lying-down?w=320&fm=jpg&auto=compress,"Los Aidis son perros muy resistentes, de notable fuerza y movilidad. Los perros de esta raza son musculosos, nerviosos y con una constitución fuerte. Tienen un pelaje espeso peculiar que les protege del sol y del frío. Este pelaje también les protege en peleas con chacales y otros depredadores. Tiene una mirada alegre, directa y obstinada, como corresponde a un perro que siempre está dispuesto a tareas de vigilancia. En algunas regiones de Marruecos, es habitual cortarles las orejas. Incluso es posible recortar la cola de los perros de trabajo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Marruecos,Grande,10–12 años,Alerta,Independiente,Leal,Sensible,,,,,Paciente con niños y otros animales,,,Necesita cuidados moderados,,Un gran perro guardián
Akita Americano,https://cdn.royalcanin-weshare-online.io/7SLIxWoBaxEApS7LQRtH/v5/bd124bl-hub-american-akita-adult-standing?w=320&fm=jpg&auto=compress,"Simpático, alerta, receptivo, digno, dócil y valiente: estos son los adjetivos que mejor describen a los Akitas Americanos. Este fuerte compañero es muy elogiado por su instinto protector innato, y se recomienda socializarlo desde una edad muy temprana. Son relativamente desconfiados con las personas que no conocen y un poco dominantes en las relaciones con otros perros. Son tranquilos, pero tienen una gran presencia e irradian confianza en cualquier circunstancia. Dicen que su cabeza se parece a la de un oso, concretamente, a la de un oso polar, pero en realidad hay muchas más similitudes entre las dos especies. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Estados Unidos,Grande,10–15 años,Equilibrado,Afable,Alerta,Obediente,Tranquilo,,,,Un gran perro para una familia,Necesita poco entrenamiento,,Requiere muchos cuidados,,
Akita Inu,https://cdn.royalcanin-weshare-online.io/rvo0HWsBIYfdNSoCfxpx/v1/bd22bl-hub-akita-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros guardianes son grandes y de constitución robusta y atlética que los hace ideales para largos paseos y hacer ejercicio. El akita inu tiene una expresión noble y solemne que lo ha hecho popular en todo el mundo.  Excepto por el blanco, todos los colores del pelaje son ""urajiro"", lo que significa que los lados del hocico, las mejillas, debajo de la mandíbula, el cuello, el pecho, el vientre, la parte inferior de la cola y el interior de las patas están cubiertos de pelo blanquecino. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Japón,Grande,10–12 años,Equilibrado,Leal,Tranquilo,Obediente,,,,,,,,Requiere cuidados mínimos,Necesita ejercicio moderado,Un gran perro guardián
Antiguo Perro De Muestra Danés,https://cdn.royalcanin-weshare-online.io/kvrcsmoBIYfdNSoC5hgk/v1/bd257bl-hub-old-danish-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Antiguos Perros de Muestra Daneses pertenecen a una raza tranquila y equilibrada, son muy determinados y valientes. Estos perros de constitución rectangular y tamaño mediano son de complexión robusta. El origen de la raza se remonta aproximadamente a 1710 cuando un hombre llamado Morten Bak cruzó perros gitanos con perros de granja locales durante ocho generaciones, y así estableció una raza pura de perros blancos y marrones a la que llamó Antiguo Perro de Muestra Danés. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Dinamarca,Grande,12–14 años,Obstinado,Seguro,Tranquilo,Leal,,,,,Paciente con niños y otros animales,Disfruta del entrenamiento,,,,
Antiguo Perro De Pastor Inglés,https://cdn.royalcanin-weshare-online.io/HSIrx2oBaxEApS7LPhxE/v1/bd90bl-hub-old-english-sheepdog-adult-standing?w=320&fm=jpg&auto=compress,"Es posible que los antiguos perros de Pastor ingleses sean una de las razas más icónicas de todo el mundo y, seguramente, de su Reino Unido natal. Fuerte y rebosante de energía, el antiguo perro de Pastor inglés es un perro fiel y confiable, tanto en el trabajo como en el hogar familiar.  Además de ser un famoso perro de granja, el antiguo perro de Pastor inglés es un excelente perro guardián, gracias a su naturaleza alerta y protectora. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Reino Unido,Grande,10–12 años,Equilibrado,Seguro,Leal,,,,Jardín no esencial,,,Requiere mucho entrenamiento,,Necesita cuidados moderados,,
Basset Hound,https://cdn.royalcanin-weshare-online.io/tvpBHWsBIYfdNSoCdxr6/v1/bd29bl-hub-basset-hound-adult-standing?w=320&fm=jpg&auto=compress,"Los basset hound son perros tranquilos que muestran un especial afecto hacia aquellos que les rodean y nunca expresan agresividad. Son conocidos por su terquedad, pero gracias a su carácter travieso se han ganado muchos admiradores en todo el mundo.  Los basset hounds son los más potentes y pesados de la categoría de rastreadores, clasificados como perros grandes a pesar de su baja estatura. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Reino Unido,Grande,10–12 años,Equilibrado,Sociable,Cariñoso,,,,,,Un gran perro para una familia,Disfruta del entrenamiento,,Necesita cuidados moderados,,
Billy,https://cdn.royalcanin-weshare-online.io/DiLVxWoBaxEApS7LVBzY/v1/bd145bl-hub-billy-adult-standing?w=320&fm=jpg&auto=compress,"El Billy es un sabueso grande originario de Haut-Poitou, en el centro occidental de Francia. Sus antepasados, perros grandes blancos, fueron inquilinos frecuentes de las perreras reales durante el reinado de Luis XIV. Una de las actividades preferidas del Billy, y una de las que mejor realiza, es perseguir liebres y jabalíes. Por lo tanto, las cualidades más importantes de la raza se relacionan con sus aptitudes para la caza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Francia,Grande,12–15 años,Inteligente,Obediente,Activo,Entrenable,Valiente,Familiar,Requiere espacio exterior,,,,,Necesita cuidados moderados,,Un gran perro guardián
Borzoi,https://cdn.royalcanin-weshare-online.io/wvpRHWsBIYfdNSoCJhpA/v1/bd36bl-hub-borzoi-adult-standing?w=320&fm=jpg&auto=compress,"El borzoi es una raza leal, cariñosa y confiable que florece en compañía humana, lo cual los convierte en perros fantásticos para las familias activas. Sin embargo, este perro no debe menospreciarse. Su gran estatura significa que requiere mucho espacio para vivir y su caracterísito pelaje necesita muchos cuidados. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Rusia,Grande,10–12 años,Fuerte,Tranquilo,Equilibrado,Alerta,,,,Necesita un dueño con experiencia,,,,Necesita cuidados moderados,,Un gran perro guardián
Bóxer,https://cdn.royalcanin-weshare-online.io/nPq6HGsBIYfdNSoCaBpp/v5/bd8bl-hub-boxer-adult-standing?w=320&fm=jpg&auto=compress,"El Bóxer es un perro intrépido, confiado, tranquilo y equilibrado. Aunque no representa ninguna amenaza para su familia, puede ser muy desconfiado de los extraños. El Bóxer es obediente, de modo que resulta fácil de educar. Poco exigente, tranquilo y leal, es adecuado tanto como perro de familia y de compañía como de defensa y utilidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Alemania,Grande,9–10 años,Alerta,Seguro,Entusiasta,Equilibrado,Afable,Independiente,Requiere espacio exterior,,Paciente con niños y otros animales,,,Requiere cuidados mínimos,,
Boyero De Flandes,https://cdn.royalcanin-weshare-online.io/8GlVHWsBG95Xk-RBDvj7/v1/bd39bl-hub-bouvier-des-flandres-adult-standing?w=320&fm=jpg&auto=compress,"Originalmente, el Boyero de Flandes se utilizaba para conducir rebaños, como animal de tiro y para batir mantequilla. La modernización de los equipos agrícolas lo desplazó de estos roles y, en la actualidad, el Boyero de Flandes se usa para proteger las granjas y como perro de defensa.  Estos perros de caràcter determinado son más adecuados para propietarios con experiencia que puedan dedicar tiempo para cubrir sus necesidades de entrenamiento y aseo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Francia,Grande,10–12 años,Inteligente,Tranquilo,Seguro,Alegre,Trabajador,,Requiere espacio exterior,,,,,Necesita cuidados moderados,Necesita mucho ejercicio,
Braco Italiano,https://cdn.royalcanin-weshare-online.io/QSI9x2oBaxEApS7LgxwS/v1/bd150bl-hub-italian-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Robustos y adaptados a todos los tipos de caza, los Bracos italianos son unos perros de muestra fiables con un excelente sentido del olfato, dóciles y fáciles de entrenar. Además de por sus instintos de caza, estos perros están comenzando a ser conocidos por ser perros de compañía familiares dulces y cariñosas, debido a su fácil mantenimiento, a su paciencia con los niños y a su capacidad para quedarse solos en el hogar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Italia,Grande,12–13 años,Leal,Tranquilo,,,,,Jardín no esencial,,,Disfruta del entrenamiento,,Necesita cuidados moderados,,
Braco Alemán De Pelo Corto,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0110_german_shorthaired_pointer.webp?itok=cNNrlKiX,"El Braco Alemán de Pelo Corto es un perro cariñoso y equilibrado, es afable, inteligente y ansioso por complacer. Estos perros son pacientes con los niños y con otros perros; sin embargo, su gran tamaño implica que el juego pueda ser demasiado brusco para los niños más pequeños. Los Bracos Alemanes de Pelo Corto, atléticos y comprometidos, son perros de caza robustos y versátiles. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Alemania,Grande,12–14 años,Fuerte,Equilibrado,Leal,Tímido,Seguro,,Requiere espacio exterior,,,Necesita poco entrenamiento,,,,Un gran perro guardián
Braco Alemán De Pelo Duro,https://cdn.royalcanin-weshare-online.io/cvrLsmoBIYfdNSoCtxg1/v1/bd200bl-hub-german-wire-haired-pointer-adult-standing?w=320&fm=jpg&auto=compress,"El Braco Alemán de Pelo Duro tienen cualidades notables reconocidas en todo el mundo, pero en su país natal se los considera el exponente perfecto de las razas de muestra. Un perro de caza versátil, el Braco Alemán de Pelo Duro tiene todos los atributos necesarios para trabajar en llanuras, bosques y pantanos, anticipándose a las señales o respondiendo a estas. Como compañeros, estos perros son cariñosos y equilibrados, y establecen un vínculo muy estrecho con sus propietarios. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",L (26-44 kg),False, Alemania,Grande,12–14 años,Cariñoso,Equilibrado,Seguro,,,,Necesita mucho espacio,,,,,Requiere muchos cuidados,Necesita mucho ejercicio,
